step,fish,sharks
814,11258,8696
815,11190,8658
816,10690,8534
817,10454,8423
818,9966,8302
819,9567,8196
820,9091,8117
821,10570,8061
822,11289,7962
823,11752,7899
824,11690,7856
825,11797,7792
826,11349,7644
827,10978,7590
828,10475,7540
829,10132,7451
830,9797,7343
831,11127,7366
832,11926,7286
833,12507,7267
834,12515,7185
835,12539,7202
836,12153,7179
837,11803,7134
838,11358,7000
839,10962,6890
840,10573,6788
841,12093,6785
842,13184,6688
843,13748,6696
844,13830,6702
845,14036,6578
846,13720,6493
847,13480,6520
848,12955,6425
849,12614,6413
850,12381,6264
851,14066,6241
852,15312,6289
853,16298,6202
854,16419,6164
855,16639,6191
856,16342,6119
857,16195,6145
858,15722,6132
859,15264,6011
860,14797,6066
861,16777,6033
862,18254,5988
863,19244,6041
864,19280,6033
865,19665,6123
866,19278,6014
867,18951,6133
868,18254,6057
869,17837,6115
870,17345,6087
871,19421,6160
872,20908,6143
873,21837,6216
874,21982,6230
875,22203,6327
876,21778,6351
877,21536,6385
878,20796,6499
879,20117,6619
880,19579,6558
881,21407,6671
882,23032,6736
883,23868,6791
884,23997,6880
885,24127,6975
886,23554,7040
887,23296,7141
888,22411,7234
889,21675,7335
890,20962,7343
891,22639,7501
892,24261,7552
893,25186,7693
894,25150,7789
895,25107,7868
896,24443,8022
897,24352,8103
898,23260,8210
899,22507,8311
900,21534,8379
901,23275,8381
902,24948,8533
903,25765,8664
904,25948,8703
905,25971,8881
906,25362,8973
907,25085,8971
908,24146,9070
909,23480,9150
910,22524,9081
911,23983,9236
912,25951,9306
913,26762,9388
914,26992,9529
915,26780,9667
916,26116,9638
917,25797,9764
918,24746,9816
919,23926,9806
920,23026,9907
921,24839,9918
922,26636,9980
923,27396,10125
924,27457,10194
925,27589,10224
926,26929,10284
927,26476,10368
928,25394,10437
929,24647,10507
930,23644,10505
931,25211,10739
932,26840,10720
933,27461,10779
934,27344,10814
935,27239,10909
936,26582,11047
937,25955,11117
938,24866,11263
939,23893,11206
940,22866,11264
941,24184,11359
942,25591,11425
943,26089,11462
944,25833,11695
945,25764,11708
946,24829,11771
947,24329,11770
948,23280,11837
949,22247,11909
950,21209,11819
951,22158,11938
952,23191,11868
953,23779,11977
954,23608,11924
955,23322,12025
956,22594,12063
957,22042,12060
958,21146,12086
959,20119,12172
960,19193,12204
961,19929,12182
962,20807,12173
963,21054,12148
964,20995,12225
965,20629,12223
966,19647,12261
967,18981,12312
968,17974,12326
969,17068,12293
970,16013,12285
971,16768,12267
972,17378,12326
973,17494,12283
974,17317,12189
975,16914,12235
976,16148,12248
977,15576,12110
978,14612,12083
979,13825,12021
980,13088,11890
981,13554,11891
982,14351,11863
983,14485,11771
984,14376,11691
985,14084,11683
986,13517,11556
987,12927,11489
988,12123,11391
989,11425,11334
990,10691,11241
991,11317,11227
992,12095,11094
993,12199,11007
994,12194,10965
995,11882,10865
996,11529,10797
997,11091,10556
998,10454,10513
999,10017,10351
1000,9355,10241
1001,9996,10072
1002,10979,10049
1003,11182,9852
1004,11277,9826
1005,11289,9686
1006,10771,9711
1007,10678,9496
1008,10229,9362
1009,9741,9261
1010,9198,9127
1011,9861,9029
1012,10832,8999
1013,11131,8846
1014,11342,8725
1015,11344,8672
1016,11066,8604
1017,10774,8544
1018,10391,8373
1019,10019,8290
1020,9520,8200
1021,10324,8125
1022,11348,8078
1023,12003,7887
1024,12264,7793
1025,12362,7730
1026,12297,7653
1027,12193,7516
1028,11843,7412
1029,11578,7293
1030,11193,7173
1031,12066,6949
1032,13294,6978
1033,14057,6914
1034,14360,6879
1035,14397,6772
1036,14319,6790
1037,14282,6721
1038,13889,6584
1039,13576,6521
1040,13210,6471
1041,14212,6449
1042,15431,6433
1043,16354,6394
1044,16826,6345
1045,17057,6315
1046,17019,6280
1047,16803,6269
1048,16332,6295
1049,15950,6206
1050,15534,6122
1051,16659,6143
1052,18021,6147
1053,18884,6112
1054,19284,6182
1055,19548,6166
1056,19406,6201
1057,19232,6198
1058,18592,6249
1059,18232,6226
1060,17645,6252
1061,18741,6232
1062,20189,6297
1063,21150,6265
1064,21442,6361
1065,21663,6407
1066,21616,6451
1067,21345,6565
1068,20670,6646
1069,20245,6670
1070,19552,6628
1071,20364,6712
1072,21611,6842
1073,22415,6893
1074,22768,6875
1075,22965,6987
1076,22755,7133
1077,22326,7194
1078,21609,7297
1079,20933,7389
1080,20149,7384
1081,21027,7475
1082,22018,7624
1083,22799,7700
1084,22959,7892
1085,23161,7940
1086,22923,7862
1087,22568,8023
1088,21673,8068
1089,21225,8118
1090,20454,8224
1091,21274,8217
1092,22430,8295
1093,23092,8371
1094,23341,8416
1095,23466,8553
1096,23121,8674
1097,22654,8694
1098,21842,8741
1099,21231,8709
1100,20505,8708
1101,21619,8847
1102,22735,8925
1103,23331,9102
1104,23488,9058
1105,23738,9147
1106,23524,9200
1107,22997,9260
1108,22282,9393
1109,21688,9425
1110,21003,9413
1111,22247,9460
1112,23301,9614
1113,23734,9651
1114,23794,9678
1115,23742,9786
1116,23402,9840
1117,22945,9867
1118,22062,9865
1119,21306,9897
1120,20433,10013
1121,21462,10089
1122,22598,10201
1123,23082,10194
1124,22956,10247
1125,22747,10385
1126,22418,10405
1127,21830,10509
1128,20937,10491
1129,20008,10529
1130,19084,10562
1131,20107,10617
1132,21131,10653
1133,21530,10645
1134,21553,10816
1135,21347,10750
1136,21172,10842
1137,20542,10790
1138,19602,10892
1139,18750,10823
1140,17917,10812
1141,18814,10840
1142,19955,10868
1143,20692,10831
1144,20790,10829
1145,20879,10826
1146,20617,10831
1147,20307,10805
1148,19506,10743
1149,18670,10717
1150,17682,10675
1151,18649,10660
1152,20008,10650
1153,20649,10653
1154,20908,10601
1155,20990,10687
1156,20636,10590
1157,20096,10678
1158,19292,10633
1159,18426,10625
1160,17549,10587
1161,18399,10516
1162,19427,10561
1163,20063,10512
1164,20196,10507
1165,20280,10651
1166,19754,10541
1167,19220,10556
1168,18343,10451
1169,17417,10578
1170,16539,10509
1171,17170,10524
1172,18282,10512
1173,18613,10556
1174,18736,10678
1175,18656,10677
1176,18097,10714
1177,17485,10676
1178,16493,10664
1179,15690,10732
1180,14695,10574
1181,15265,10600
1182,16169,10551
1183,16633,10530
1184,16676,10535
1185,16442,10550
1186,15799,10508
1187,15171,10437
1188,14269,10422
1189,13484,10384
1190,12742,10273
1191,13227,10370
1192,13843,10296
1193,14180,10291
1194,14241,10191
1195,14105,10252
1196,13522,10149
1197,13127,10024
1198,12333,10030
1199,11626,9977
1200,11176,9892
1201,11618,9785
1202,12379,9766
1203,12837,9652
1204,12898,9482
1205,12842,9485
1206,12550,9456
1207,12234,9277
1208,11614,9255
1209,10999,9148
1210,10437,9096
1211,10845,9026
1212,11674,8937
1213,12229,8854
1214,12384,8792
1215,12447,8723
1216,12179,8608
1217,12075,8523
1218,11542,8432
1219,11054,8360
1220,10563,8300
1221,10950,8172
1222,11759,8067
1223,12270,8109
1224,12468,8053
